DealNumber;DealStatus;AcquirerName;Symbol;RumorDate;WithdrawalDate;Index
474960;Withdrawn;NASDAQ STOCK MARKET INC. THE;ndaq;2007-05-25;2007-12-31;^IXIC
485408;Withdrawn;BANK of NOVA SCOTIA THE;BNS.TO;2007-01-17;2009-09-09;^NY
505860;Withdrawn;SACYR VALLEHERMOSO SA;VHM.F;2007-04-19;2008-04-02;^IBEX
510638;Withdrawn;STERLITE INDUSTRIES (INDIA) LTD;STRTECH.BO;2008-05-31;2008-10-22;^BSESN
521707;Withdrawn;JCDECAUX SA;DEC.PA;2007-03-08;2008-07-22;^SBF250
529235;Withdrawn;AIR BERLIN PLC;AB1.De;2007-09-20;2008-07-11;^FTSE
532736;Withdrawn;H2O INNOVATION (2000) INC.;H20.SI;2007-04-16;2007-10-26;^GSPTSE
535894;Withdrawn;BHP BILLITON LTD;BHP.AX;2008-02-06;2008-11-27;^AXJO
580688;Withdrawn;DEUTSCHE BANK AG;DBK.DE;2008-07-02;2009-09-17;^GDAXI
594521;Withdrawn;RICHTER GEDEON VEGYESZETI GYAR NYRT;RIG2.F;2007-11-15;2008-07-17;^BUX
608950;Withdrawn;CSL LTD;CSL.AX;2008-08-13;2009-06-08;^AXJO
609292;Withdrawn;ANGLOGOLD ASHANTI LTD;CSL.AX;2008-01-14;2008-05-29;^GSPC
617980;Withdrawn;CORO MINING CORPORATION;COP.TO;2008-02-13;2008-10-02;^GSPTSE
622422;Withdrawn;RAMBA ENERGY LTD;R14.SI;2008-07-10;2009-07-03;^STI
623719;Withdrawn;JBS SA;JBSS3.SA;2008-02-29;2008-11-07;^BVSP
625082;Withdrawn;PING AN INSURANCE (GROUP) COMPANY of CHINA LTD;2318.HK;2008-04-02;2008-10-01;^SSEC
625329;Withdrawn;CITIGROUP INC.;C;2007-10-15;2008-08-27;^NY
635413;Withdrawn;UNITED ENERGY GROUP LTD;0467.HK;2008-06-11;2008-11-17;^HSI
637231;Withdrawn;ITALCEMENTI SPA;IT.MI;2009-02-16;2009-06-27;FTSEMIB.MI
641642;Withdrawn;ZHEJIANG JISHAN GROUP CO. LTD;J18.SI;2008-05-14;2009-01-21;^STI
